'Trotz der Gerüchte über die bösen Wölfe in dem Gebiet ging Rotkäppchen los, um ihre Großmutter zu besuchen und ihr Kuchen und Wein zu bringen.'
'Oh Großmutter, warum liegst du schon im Bett?'
'Komm näher, mein Kind, damit ich dich ansehen kann.'
'Und Großmutter, was hast du für große Ohren!'
'Damit ich dich besser hören kann, mein Schatz.'
'Und Großmutter, was hast du für große Augen!'
'...\nDamit ich dich besser sehen kann, natürlich.'
'Aber Großmutter,\nwas hast du für einen großen Mund!'
'Natürlich ...'
'Damit ich dich besser FRESSEN kann, natürlich!'
'Und so wurde das hilflose Rotkäppchen\nmit Haut und Haar verschlugen.\n\nDer Wolf schlief bald darauf ein ...\nUnd schnarchte so laut,\ndass ein Jäger ihn hörte ...'
'Zzzz ... Zzzz ...'
'Gott, was ist das für ein Geräusch?'
'Übler Wolf! Was hast du ...\nVielleicht bleibt noch Zeit!'
'Zzzz ... Zzzz ...\nGah!'
'Und so nutzte der Jäger all seine Werkzeuge, um Rotkäppchen und ihre Großmutter aus dem Wolfgefängnis zu befreien.'
'Danke, tapferer Jäger!'
'Keine Sorge, Kind.\nDer Wolf hatte seine letzte Mahlzeit.'
'Lass dir das eine Lehre sein, mein Schatz. Komme nie vom Weg ab!'
'Ja, Großmutter!'
