'Die heutige Aufführung ist etwas anders als die übliche Unterhaltung.\n\nDies ist die Geschichte von Isha, der schlauen, gütigen, schönen und absolut nicht habgierigen jungen Bürgermeisterin, die ihre Stadt Neu-Nevaeh wieder zum Leben erweckte.'
'Nicht so schnell. Die Hügelgräber sind tückisch. Du darfst nicht hineingehen!'
'Ja, ja, ja. Du kannst CJ nicht davon abhalten, zu tun, was sie will!'
'Das ist ja nicht besonders nett.'
'Keine Sorge. Überlass dieses kleine Problem mir!'
'Die drei waren anfangs wie Öl, Wasser und etwas Drittes das weder zu Öl NOCH zu Wasser passt. Aber mit der Zeit wurden\nsie beste Freunde.'
'Leute, folgt mir!'
'Ja, hauen wir ein paar Feinde tot!'
'Jepp, überlass dieses kleine Problem mir!'
'Ja, es war eine Geschichte voller Action! Abenteuer! Aber auch voller herzerwärmender Momente!'
'Wow, Isha! Du bist zu allem anderen auch noch so eine tolle Köchin!'
'Vielen Dank. Das ist eine Delikatesse aus Neu-Nevaeh. Nicht teuer, aber sehr lecker.'
'Ich habe nicht gelebt, bevor ich das in meinen Magen bekommen habe.'
'Jeder sollte Neu-Nevaeh besuchen, um sich vollstopfen zu können!'
'Und dann – endlich – ein letztes Zusammentreffen mit ihrem Erzfeind!'
'Muahahaha! Erklärung hier einfügen! Ihr werdet meine bösen Pläne niemals durchkreuzen!'
'Tretet zurück. Ihr habt schon genug getan. ich muss mich ihm allein stellen – selbst, wenn es mich das Leben kostet ...'
'Auf keinen Faaall! Wir werden das gemeinsam als Team beenden, wie abgemacht!'
'Das stimmt! Du hast gesagt, dass wir lebend hier rauskommen und in Neu-Nevaeh ein komplettes Festmahl bekommen!'
'Genug! Hast du dich deinem Schicksal ergeben?'
'Zeig mir, was du kannst, böser Zauberer. Im Namen der Liebe, der Gerechtigkeit und des heiligen Schwerts Astra werde ich dich besiegen!'
'Muaahahahaaaaaa!'
'Keuch! Was wird nur aus Isha und ihren Gefährten werden?!'
'Wenn ihr wissen wollt, wie die Geschichte ausgeht, dann bucht noch heute eine Reise ins Land der Träume und der Abenteuer: Neu-Nevaeh!\n\nSchlagt euch den Bauch mit erlesenen Speisen voll, erlebt die atemberaubende Landschaft und erhaltet kostenlose Stempel! Kommt nicht bloß zu Besuch – bleibt für immer!\n\nMit freundlicher Unterstützung des Instandsetzungsbüros von Neu-Nevaeh. Ich schätze, das dient alles dazu, um Neu-Nevaeh bekannt zu machen.'
