'Rotkäppchen ging los, um ihre liebe Großmutter zu besuchen und ihr Kuchen und Wein zu bringen.'
'Ich kann nicht glauben, dass ich das tun muss ...\n\nGroßmutter, warum bist du im Bett?'
'Komm näher, mein Kind, damit ich dich ansehen kann.'
'Hahh ... Großmutter, was hast du für große Ohren.'
'Damit ich dich besser hören kann, mein Schatz.'
'Und Großmutter, was hast du für große Augen!'
'Damit ich dich besser sehen kann, mein Schatz.'
'Und Großmutter, was hast du für einen großen Mund.'
'Natürlich ...'
'Damit ich dich besser FRESSEN kann, mein Schatz!'
'Und so wurde Rotkäppchen von dem Wolf aufgefressen. Daraufhin schlief der Wolf ein und schnarchte sehr laut.'
'Zz Zz'
'Gott, was ist das für ein Geräusch?'
'Ein böser Wolf! Oh Gott, nein! Kommt meine Hilfe zu spät?'
'... Gah.'
'Und so rettete ein Jäger, der zufällig an der Hütte vorbeikam, Rotkäppchen und ihre Großmutter aus dem Bauch des Wolfes.'
'Danke, Jäger.'
'Gern geschehen. Diese Bestie wird euch keinen Ärger mehr machen.'
'Lass dir das eine Lehre sein, mein Schatz. Komme nie vom Weg ab.'
'Ja, Großmutter.'
