'In einem weit entfernten Land und einem längst verlorenen Zeitalter lebte ein Mädchen namens Rotkäppchen. Rotkäppchen ging los, um ihre liebe Großmutter zu besuchen und ihr Kuchen und Wein zu bringen.'
'Oh Großmutter, warum liegst du schon im Bett?'
'Komm näher, mein Kind, damit ich dich ansehen kann.'
'Und Großmutter, was hast du für große Ohren!'
'Damit ich dich besser hören kann, mein Schatz.'
'Und Großmutter, was hast du für große Augen!'
'Damit ich dich besser sehen kann, mein Schatz.'
'Aber Großmutter,\nwas hast du für einen großen Mund!'
'Natürlich ...'
'Damit ich dich besser FRESSEN kann, mein Schatz!'
'Und so wurde das sorglose Rotkäppchen von dem Wolf gefressen, der mit seinem vollem Bauch tief einschlief.'
'Zzzzzz ... Zzzzzzzzz ...'
'Gott, was ist das für ein Geräusch?'
'Übler Wolf! Was hast du ...\nVielleicht bleibt noch Zeit!'
'Waah!'
'Der gute Jäger, der an der Hütte vorbeikam,\ntötete den Wolf und holte\nRotkäppchen und ihre Großmutter aus seinem Bauch.'
'Danke, tapferer Jäger!'
'Ja, jetzt da es den Wolf nicht mehr gibt,\nkannst du beruhigt schlafen.\n'
'Und du musst\nauf dem rechten Weg bleiben, Rotkäppchen.'
'Ja, Großmutter.'
