'Wow, diese Geschichte weckt Erinnerungen! Viel Spaß!\n\nRotkäppchen ging los, um ihre liebe Großmutter zu besuchen und ihr Kuchen und Wein zu bringen.'
'So ein schönes Wetter heute, Großmutter!\nKomm schon, Großmutter, raus aus den Federn!'
'Ich bin krank und bettlägerig, Mädchen.\nKomm näher, damit ich dein Gesicht sehen kann.'
'Sag mal, Großmutter, ich weiß, dass wir uns lange nicht gesehen haben, aber ...\nwaren deine Ohren immer schon so groß?'
'Natürlich, Mädchen.\nDamit ich dich besser hören kann.'
'Hm, okay!\nAber was ist mit deinen Augen?\nWaren die auch schon immer so groß?'
'Natürlich, Mädchen.\nDamit ich dich besser sehen kann.'
'... Ich nehme dich beim Wort.\nAber was ist mit deinem Mund?\nIch kann mich gar nicht daran erinnern, dass du solche ... Zähne hast ...'
'Ah ja, die Zähne ...'
'Damit ich dich besser fressen kann, Mädchen!'
'Wie unglücklich!\nRotkäppchen wurde von dem Wolf gefressen,\nder kurz darauf zufrieden einschlief.'
'Zzzzzz ... Zzzzzzzzz ...'
'Was um alles in der Welt ist das für ein Schnarchen?'
'Ahh! Ein Wolf?!\nSag nicht, diese Bestie hat ...\nNein! Ich schneide dich auf und rette die Lage!'
'Waaaaaaugh!'
'Und so rettete ein Jäger, der zufällig an der Hütte vorbeikam, Rotkäppchen und ihre Großmutter aus dem Bauch des Wolfes!'
'Vielen Dank, Herr Jäger!'
'Der Wolf ist\nkein Grund zur Sorge mehr!'
'Lass dir das eine Lehre sein, Mädchen. Komme nie vom Weg ab!'
'Verstanden, Großmutter!'
