'Li—ack! Hrrrnngg! Tschuldigung.\n\nRotkäppchen ging los, um ihre liebe Großmutter zu besuchen und ihr Kuchen und Wein zu bringen.'
'Großmutter, Großmutter, sag mal, warum liegst du im Bett?'
'Gah!\n... Komm näher, Kind!\nLass mich dein Gesicht sehen.'
'Großmutter, Großmutter!\nWas hast du für große Ohren!'
'Damit ich dich besser hören kann, mein Schatz.'
'Großmutter, Großmutter!\nWas hast du für große Augen!'
'Natürlich, Kind!\nDamit ich dich besser sehen kann!'
'Großmutter, Großmutter ...\nWas hast du für große Zähne!'
'*Räusper* Ja, nun ...'
'Damit ich dich besser fressen kann, muahaha!'
'Aye ... Rotkäppchen hat sich\nordentlich auffressen lassen.\nDer Wolf schlief direkt ein.'
'Zzzzzz! Zzzzzzz!'
'Yar! Woher kommt dieses\nverdächtige Schnarchen?'
'Beim Sand! Ein Wolf!\nNimm das, du gefräßiger Lykan!\nHuaaaa!'
'Grk! Graaaaa!\n'
'Aye! Ein mutiger Shi’arc-Jäger\nkam zur Rettung und zog das Kind und die Alte\naus dem Bauch der Bestie!'
'Mein Dank, Herr Shi’arc-Jäger!'
'Jarr, jetzt kannst du sicher schlafen, Kind!'
"'Jetzt hör mal zu, Rotkäppchen;\nkomme nie mehr vom Weg ab, verstanden?'"
'Verstanden, Großmutter!\n Das Ende!'
