'Legen wir los.\n\nDies ist die Geschichte von Isha, die sowohl schlau und gütig ist und auch gut mit Geld umgehen kann, und ihren entzückenden Freunden, die Neu-Nevaeh neues Leben einhauchen.'
'Meine Güte, du bist aber in Eile, nicht? Du solltest dich aber von den Hügelgräbern fernhalten! Sie sind gefährlich!'
'Ahh, das packe ich schon. Außerdem kann niemand CJ aufhalten, wenn sie etwas erreichen will!'
'Schau an! Eine mutige junge Dame, was?'
'Keine Sorge, Liebling. Überlass dieses kleine Problem mir!'
'Die drei waren anfangs wie Öl, Wasser und etwas Drittes das weder zu Öl NOCH zu Wasser passt. Aber mit der Zeit wurden sie beste Freunde.'
'Folgt mir!'
'Ja, hauen wir ein paar Feinde tot!'
'Jepp, überlass dieses kleine Problem mir!'
'Ja, es war eine Geschichte voller Action! Abenteuer! Aber auch voller herzerwärmender Momente!'
'Wow, Isha! Du bist zu allem anderen auch noch so eine tolle Köchin!'
'Nun, das ist eine regionale Delikatesse aus Neu-Nevaeh! Und dazu noch sehr günstig.'
'Ich habe nich gelebt, bevor ich das in meinen Magen bekommen habe.'
'Jeder sollte Neu-Nevaeh besuchen, um sich vollstopfen zu können!'
'Und dann – endlich – ein letztes Zusammentreffen mit ihrem Erzfeind!'
'Muahahaha! Erklärung hier einfügen! Ihr werdet meine bösen Pläne niemals durchkreuzen!'
'Tretet zurück. Ihr habt schon genug getan. Ich muss mich ihm allein stellen – selbst, wenn es mich das Leben kostet!'
'Was sagst du da, du selbstlose und unglaublich tolle Person? Du hast versprochen, dass wir immer zusammen sein würden!'
'Das stimmt! Du hast gesagt, dass wir lebend hier rauskommen und in Neu-Nevaeh ein komplettes Festmahl bekommen!'
'Genug! Hast du dich deinem Schicksal ergeben?'
'Zeig mir, was du kannst, böser Zauberer. Im Namen der Liebe, der Gerechtigkeit und des heiligen Schwerts Astra werde ich dich besiegen!'
'Muaahahahaaaaaa!'
'Meine Güte! Was wird nur aus Isha und ihren Gefährten werden, hm?'
'Wenn ihr wissen wollt, wie die Geschichte ausgeht, dann bucht noch heute eine Reise ins Land der Träume und der Abenteuer: Neu-Nevaeh!\n\nSchlagt euch den Bauch mit erlesenen Speisen voll, erlebt die atemberaubende Landschaft und erhaltet kostenlose Stempel! Kommt nicht bloß zu Besuch – bleibt für immer!\n\nMit freundlicher Unterstützung des Instandsetzungsbüros von Neu-Nevaeh.'
