'Rotkäppchen ging los, um ihre liebe Großmutter zu besuchen und ihr Kuchen und Wein zu bringen!'
'Oh Großmutter, Großmutter, warum liegst du im Bett?'
'Komm her, Rotkäppchen und lass mich dich mal ansehen.'
'Großmutter, Großmutter! Was hast du für große Ohren!'
'Damit ich dich besser hören kann, Liebes!'
'Großmutter, Großmutter! Was hast du für große Augen!'
'Damit ich dich besser sehen kann, Liebes.'
'Großmutter, Großmutter! Was hast du für einen großen Mund?'
'Natürlich ...'
'Damit ich dich besser fressen kann, Liebes!'
'Jap, das arme Rotkäppchen hat sich auffressen lassen.\nDer Wolf wurde übelst schläfrig und glitt ins Traumland.'
'ZZZZZ! ZZZZZ!'
'Hört! Was ist das für ein lautes Schnarchen?'
'Ein Wolf! Der führt nichts Gutes im Schild, hm?!\nEs bleibt aber noch Zeit, die Dinge zu richten!'
'Waaaaaaugh!'
'Und so rettete ein Jäger, der zufällig an der Hütte vorbeikam, Rotkäppchen und ihre Großmutter aus dem Bauch des Wolfes!'
'Danke, Herr Jäger!'
'Gern geschehen. Der Wolf ist für immer fort!'
"'Süßes, dummes Rotkäppchen; lass dir das eine Lehre sein und komm nie mehr vom Weg ab!'"
'Ja, Großmutter!'
